Genre,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,summed
Action,164.66999999999987,625.3899999999992,314.3099999999999,208.65999999999988,31.479999999999997,70.49000000000034,790.06
Action-Adventure,49.12,83.07999999999996,34.05000000000001,35.05000000000001,2.8399999999999985,11.159999999999993,132.20000000000002
Adventure,95.7,140.95000000000024,71.73999999999998,45.37999999999999,9.879999999999994,13.909999999999966,236.65000000000015
Board Game,0.0,0.3,0.06,0.22,0.01,0.02,0.3
Education,0.0,0.09,0.08,0.0,0.0,0.01,0.09
Fighting,100.75000000000003,145.30000000000007,78.89999999999998,36.910000000000004,16.379999999999995,13.209999999999969,246.04999999999998
MMO,13.36,2.7399999999999998,1.6,0.71,0.15,0.28,16.1
Misc,185.99,180.06,103.94999999999992,49.13000000000001,7.459999999999998,19.340000000000046,366.04999999999995
Music,8.4,14.55,7.6899999999999995,4.44,1.08,1.3300000000000003,22.95
Party,44.9,2.31,0.8300000000000001,0.8700000000000001,0.42000000000000004,0.19000000000000003,47.209999999999994
Platform,402.22000000000014,213.84,117.86999999999995,64.83000000000015,11.339999999999986,19.660000000000085,616.0599999999995
Puzzle,21.700000000000003,37.01999999999998,18.089999999999993,9.699999999999987,6.129999999999999,3.0499999999999923,58.719999999999985
Racing,224.72999999999996,244.50000000000017,117.81999999999994,89.99000000000015,7.569999999999992,29.070000000000082,469.2299999999996
Role-Playing,465.3199999999999,287.5399999999995,138.69000000000014,70.96000000000008,52.62000000000003,25.210000000000164,752.8600000000006
Sandbox,0.0,1.89,0.69,0.56,0.52,0.12,1.89
Shooter,177.41,579.3699999999998,309.5299999999997,190.74,12.629999999999967,66.65000000000032,756.7799999999999
Simulation,93.49,108.31000000000006,52.050000000000004,39.46,7.39,9.279999999999973,201.7999999999999
Sports,198.59999999999997,503.2699999999995,258.58999999999963,167.2300000000002,15.819999999999991,61.390000000000086,701.8699999999998
Strategy,65.61999999999999,58.610000000000035,31.780000000000005,18.670000000000027,3.6199999999999983,4.559999999999985,124.23
Visual Novel,0.0,0.03,0.03,0.0,0.0,0.0,0.03
